city,country,latitude,longitude,wiki_title,wiki_content
Kragujevac,Serbia,44.0130251,20.91925,Kragujevac,"Kragujevac (Serbian Cyrillic: Крагујевац, pronounced [krǎɡujeʋats] ) is the fourth largest city in Serbia and the administrative centre of the Šumadija District. It is the historical centre of the geographical region of Šumadija in central Serbia, and is situated on the banks of the Lepenica River. According to the 2022 census, City of Kragujevac has 171,186 inhabitants.
Kragujevac was the first capital of modern Serbia and the first constitution in the Balkans, the Sretenje Constitution, was proclaimed in the city in 1838. A unit of the Scottish Women's Hospitals for Foreign Service was located there in World War I. During the Second World War, Kragujevac was the site of a massacre by the Nazis in which 2,778 Serb men and boys were killed.
Modern Kragujevac is known for its large munitions (Zastava Arms) and automobile (FCA Srbija) industries, as well as its status as an education centre housing the University of Kragujevac, one of the region's largest higher education institutions."
Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam,"Rotterdam ( ROT-ər-dam, UK also  ROT-ər-DAM, Dutch: [ˌrɔtərˈdɑm] ; lit. ""The Dam on the River Rotte"") is the second-largest city in the Netherlands after the national capital of  Amsterdam. It is in the province of South Holland, part of the North Sea mouth of the Rhine–Meuse–Scheldt delta, via the ""New Meuse"" inland shipping channel, dug to connect to the Meuse at first and now to the Rhine.
Rotterdam's history goes back to 1270, when a dam was constructed in the Rotte. In 1340, Rotterdam was granted city rights by William IV, Count of Holland. The Rotterdam–The Hague metropolitan area, with a population of approximately 2.7 million, is the 10th-largest in the European Union and the most populous in the country.
A major logistic and economic centre, Rotterdam is Europe's largest seaport. In 2022, Rotterdam had a population of 655,468 and is home to over 180 different nationalities. 
Rotterdam is known for its university, riverside setting, lively cultural life, maritime heritage and modern architecture. The near-complete destruction of the city centre in the World War II Rotterdam Blitz has resulted in a varied architectural landscape, including skyscrapers designed by architects such as Rem Koolhaas, Piet Blom and Ben van Berkel.
The Rhine, Meuse and Scheldt give waterway access into the heart of Western Europe, including the highly industrialized Ruhr. The extensive distribution system including rail, roads, and waterways have earned Rotterdam the nicknames ""Gateway to Europe"" and ""Gateway to the World""."
Porto,Portugal,41.1494512,-8.6107884,Porto,"Porto (Portuguese pronunciation: [ˈpoɾtu] ), also known as Oporto, is the second largest city in Portugal after Lisbon. It is the capital of the Porto District and one of the Iberian Peninsula's major urban areas. Porto city proper, which is the entire municipality of Porto, is small compared to its metropolitan area, with an estimated population of just 237,559 people in a municipality with only 41.42 km2 (16 sq mi). Porto's metropolitan area has around 1.7 million people (2021) in an area of 2,395 km2 (925 sq mi), making it the second-largest urban area in Portugal. It is recognized as a global city with a Gamma + rating from the Globalization and World Cities Research Network.
Located along the Douro River estuary in northern Portugal, Porto is one of the oldest European centers and its core was proclaimed a World Heritage Site by UNESCO in 1996, as the ""Historic Centre of Porto, Luiz I Bridge and Monastery of Serra do Pilar"". The historic area is also a National Monument of Portugal. The western part of its urban area extends to the coastline of the Atlantic Ocean. Its settlement dates back many centuries when it was an outpost of the Roman Empire. Its combined Celtic-Latin name, Portus Cale, has been referred to as the origin of the name Portugal, based on transliteration and oral evolution from Latin.
Port wine, one of Portugal's most famous exports, is named after Porto, since the metropolitan area, and in particular the cellars of Vila Nova de Gaia, were responsible for the packaging, transport, and export of fortified wine. In 2014 and 2017, Porto was elected The Best European Destination by the Best European Destinations Agency. Porto is on the Portuguese Way path of the Camino de Santiago."
Galway,Ireland,53.2744122,-9.0490601,Galway,"Galway ( GAWL-way; Irish: Gaillimh, pronounced [ˈɡal̠ʲɪvʲ]) is a city in the West of Ireland, in the province of Connacht, which is the county town of County Galway. It lies on the River Corrib between Lough Corrib and Galway Bay. It is the most populous settlement in the province of Connacht, the fifth most populous city on the island of Ireland and the fourth most populous in the Republic of Ireland, with a population at the 2022 census of 85,910.
Located near an earlier settlement, Galway grew around a fortification built by the King of Connacht in 1124. A municipal charter in 1484 allowed citizens of the by then walled city to form a council and mayoralty. Controlled largely by a group of merchant families, the Tribes of Galway, the city grew into a trading port. Following a period of decline, as of the 21st century, Galway is a tourist destination known for festivals and events including the Galway International Arts Festival.
In 2018, Galway was named the European Region of Gastronomy. The city was the European Capital of Culture for 2020, alongside Rijeka, Croatia.

"
Siena,Italy,43.167205949999996,11.467561040475552,Siena,"Siena ( see-EN-ə, Italian: [ˈsjɛːna, ˈsjeːna] ; Latin: Sena Iulia) is a city in Tuscany, Italy. It is the capital of the province of Siena. Siena is the 12th largest city in the region by number of inhabitants, with a population of 53,062 as of 2022.
The city is historically linked to commercial and banking activities, having been a major banking center until the 13th and 14th centuries. Siena is also home to the oldest bank in the world, the Monte dei Paschi bank, which has been operating continuously since 1472 (1472). Several significant Renaissance painters were born and worked in Siena, among them Duccio, Ambrogio Lorenzetti, Simone Martini and Sassetta, and influenced the course of Italian and European art. The University of Siena, originally called Studium Senese, was founded in 1240, making it one of the oldest universities in continuous operation in the world.
Siena was one of the most important cities in medieval Europe, and its historic centre is a UNESCO World Heritage Site, which contains several buildings from the 13th and 14th centuries. The city is famous for its cuisine, art, museums, medieval cityscape and the Palio, a horse race held twice a year in Piazza del Campo."
Antalya,Turkey,36.8864752,30.7029585,Antalya,"Antalya, is the fifth-most populous city in Turkey and the capital of Antalya Province. Recognized as the ""capital of tourism"" in Turkey and a pivotal part of the Turkish Riviera, Antalya sits on Anatolia's southwest coast, flanked by the Taurus Mountains. With over 2.6 million people in its metropolitan area, it is the largest city in Turkey's Mediterranean Region, situated along the Mediterranean Sea.
The city that is now Antalya was first settled around 200 BC by the Attalid dynasty of Pergamon, which was soon conquered by the Romans. Roman rule saw Antalya thrive, including the construction of several new monuments, such as Hadrian's Gate, and the flourishing of nearby ancient cities such as Patara, Xanthos and Myra in the Lycia region; Perga, Aspendos and Side in Pamphylia; and Sagalassos, Antioch and Termessos in Pisidia. These cities were already significant centers before Roman influence. Antalya has changed hands several times, including to the Seljuk Empire in 1207 and an expanding Ottoman Empire in 1391. Ottoman rule brought relative peace and stability for the next five hundred years. The city was occupied by Italy for three years in the aftermath of World War I, but was recaptured by a newly independent Turkey in the Turkish War of Independence.
While the city itself only has modest elevation changes, Antalya has high mountains in all directions to its interior. With moisture being trapped, the local climate thus has high winter rainfall, while the interior bay setting result in very hot summers for a coastal city.
The city is Turkey's biggest international sea resort on the Turkish Riviera. Large-scale development and governmental funding has made it a prime destination for tourists. Antalya is currently the fourth-most visited city in the world, trailing behind only Istanbul, London, and Dubai, attracting more than 16.5 million foreign visitors in 2023."
Bilbao,Spain,43.2630018,-2.9350039,Bilbao,"Bilbao is a city in northern Spain, the largest city in the province of Biscay and in the Basque Country as a whole. It is also the largest city proper in northern Spain. Bilbao is the tenth largest city in Spain, with a population of more than 347,000 as of 2023. The Bilbao metropolitan area has 1,037,847 inhabitants, making it the most populous metropolitan area in northern Spain; with a population of 875,552, the comarca of Greater Bilbao is the fifth-largest urban area in Spain. Bilbao is also the main urban area in what is defined as the Greater Basque region.
Bilbao is located in the north-central part of Spain, some 16 kilometres (10 mi) south of the Bay of Biscay, where the economic social development is located, where the estuary of Bilbao is formed. Its main urban core is surrounded by two small mountain ranges with an average elevation of 400 metres (1,300 ft). Its climate is shaped by the Bay of Biscay low-pressure systems and mild air, moderating summer temperatures by Iberian standards, with low sunshine and high rainfall. The annual temperature range is low for its latitude.
After its foundation in the late 13th century by Diego López V de Haro, head of the powerful Haro family, Bilbao was one of the commercial hubs of the Basque Country that enjoyed significant importance in the Crown of Castile. This was due to its thriving port activity based on the export of wool and iron commodities extracted from the Biscayan quarries to all over Europe.
Throughout the nineteenth century and the beginning of the twentieth, Bilbao experienced heavy industrialisation, making it the center of the second-most industrialised region of Spain, behind Barcelona. At the same time an extraordinary population explosion prompted the annexation of several adjacent municipalities. Nowadays, Bilbao is a vigorous service city that is experiencing an ongoing social, economic, and aesthetic revitalisation process, started by the iconic Bilbao Guggenheim Museum, and continued by infrastructure investments, such as the airport terminal, the rapid transit system, the tram line, the Azkuna Zentroa, and the currently under development Abandoibarra and Zorrozaurre renewal projects.
Bilbao is also home to football team Athletic Club, a significant symbol for Basque nationalism due to its promotion of only Basque players and being one of the most successful clubs in Spanish football history.
On 19 May 2010, the city of Bilbao was recognised with the Lee Kuan Yew World City Prize, awarded by the city state of Singapore. Considered the Nobel Prize for urbanism, it was handed out on 29 June 2010. On 7 January 2013, its mayor, Iñaki Azkuna, received the 2012 World Mayor Prize awarded every two years by the British foundation The City Mayors Foundation, in recognition of the urban transformation experienced by the Biscayan capital since the 1990s. On 8 November 2017, Bilbao was chosen the Best European City 2018 at The Urbanism Awards 2018, awarded by the international organisation The Academy of Urbanism."
Strasbourg,France,48.584614,7.7507127,Strasbourg,"Strasbourg (UK: , US: , French: [stʁasbuʁ] ; German: Straßburg [ˈʃtʁaːsbʊʁk] ;) is the prefecture and largest city of the Grand Est region of eastern France. Located at the border with Germany in the historic region of Alsace, it is the prefecture of the Bas-Rhin department. It is the official seat of the European Parliament.
In 2021, the city proper had 291,313 inhabitants and both the Eurométropole de Strasbourg (Greater Strasbourg) and the Arrondissement of Strasbourg had 514,651 inhabitants. Strasbourg's metropolitan area had a population of 860,744 in 2020, making it the eighth-largest metro area in France and home to 14% of the Grand Est region's inhabitants. The transnational Eurodistrict Strasbourg-Ortenau had a population of roughly 1,000,000 in 2022. Strasbourg is one of the de facto four main capitals of the European Union (alongside Brussels, Luxembourg and Frankfurt), as it is the seat of several European institutions, such as the European Parliament, the Eurocorps and the European Ombudsman of the European Union. An organization separate from the European Union, the Council of Europe (with its European Court of Human Rights, its European Directorate for the Quality of Medicines most commonly known in French as ""Pharmacopée Européenne"", and its European Audiovisual Observatory) is also located in the city.
Together with Basel (Bank for International Settlements), Geneva (United Nations), The Hague (International Court of Justice) and New York City (United Nations world headquarters), Strasbourg is among the few cities in the world that is not a state capital that hosts international organisations of the first order. The city is the seat of many non-European international institutions such as the Central Commission for Navigation on the Rhine and the International Institute of Human Rights. It is the second city in France in terms of international congress and symposia, after Paris. Strasbourg's historic city centre, the Grande Île (Grand Island), was classified a World Heritage Site by UNESCO in 1988, with the newer ""Neustadt"" being added to the site in 2017. Strasbourg is immersed in Franco-German culture and although violently disputed throughout history, has been a cultural bridge between France and Germany for centuries, especially through the University of Strasbourg, currently the second-largest in France, and the coexistence of Catholic and Protestant culture. It is also home to the largest Islamic place of worship in France, the Strasbourg Grand Mosque.
Economically, Strasbourg is an important centre of manufacturing and engineering, as well as a hub of road, rail, and river transportation. The port of Strasbourg is the second-largest on the Rhine after Duisburg in Germany, and the second-largest river port in France after Paris.

"
Izmir,Turkey,38.4237433,27.1428019,İzmir,"İzmir, historically known as Smyrna, is a metropolitan city on the west coast of Anatolia, and capital of İzmir Province. It is the third most populous city in Turkey, after Istanbul and Ankara, and the largest urban agglomeration on the Aegean Sea.
In 2019, the city of İzmir had a population of 2,965,900, while İzmir Province had a total population of 4,367,251. Its built-up (or metro) area was home to 3,209,179 inhabitants. It extends along the outlying waters of the Gulf of İzmir and inland to the north across the Gediz River Delta; to the east along an alluvial plain created by several small streams; and to slightly more rugged terrain in the south.
İzmir has more than 3,000 years of recorded urban history, and up to 8,500 years of history as a human settlement since the Neolithic period. In classical antiquity the city was known as Smyrna ( SMUR-nə; Greek: Σμύρνη, romanized: Smýrni/Smýrnē) – a name which remained in use in English and various other languages until around 1930, when government efforts led the original Greek name to be gradually phased out internationally in favor of its Turkish counterpart İzmir. Until the 1923 population exchange between Greece and Turkey, İzmir had a very large Greek population.
Lying on an advantageous location at the head of a gulf running down in a deep indentation, midway along the western Anatolian coast, İzmir has been one of the principal mercantile cities of the Mediterranean Sea for much of its history. It hosted the Mediterranean Games in 1971 and the World University Games (Universiade) in 2005. The city participated in Climathon in 2019."
Bari,Italy,41.1257843,16.8620293,Bari,"Bari ( BAR-ee, Italian: [ˈbaːri] ; Barese: Bare [ˈbæːrə]; Latin: Barium) is the capital city of the Metropolitan City of Bari and of the Apulia region, on the Adriatic Sea, southern Italy. It is the second most important economic centre of mainland Southern Italy after Naples. It is a port and university city, as well as the city of Saint Nicholas. The city itself has a population of 315,284 inhabitants, and an area of over 116 square kilometres (45 sq mi), while the urban area has 750,000 inhabitants. The metropolitan area has 1.3 million inhabitants.
Bari is made up of four different urban sections. To the north is the closely built old town on the peninsula between two modern harbours, with the Basilica of Saint Nicholas, the Cathedral of San Sabino (1035–1171) and the Norman-Swabian Castle, which is now also a major nightlife district. To the south is the Murat quarter (erected by Joachim Murat), the modern heart of the city, which is laid out on a rectangular grid-plan with a promenade on the sea and the major shopping district (the via Sparano and via Argiro).
Modern residential zones surrounding the centre of Bari were built during the 1960s and 1970s replacing the old suburbs that had developed along roads splaying outwards from gates in the city walls. In addition, the outer suburbs developed rapidly during the 1990s.

"
