landmark,latitude,longitude,wiki_title,wiki_content
"Acropolis of Athens, Athens, Greece",37.971689350000005,23.726319700616585,Acropolis of Athens,"The Acropolis of Athens (Ancient Greek: ἡ Ἀκρόπολις τῶν Ἀθηνῶν, romanized: hē Akropolis tōn Athēnōn; Modern Greek: Ακρόπολη Αθηνών, romanized: Akrópoli Athinón) is an ancient citadel located on a rocky outcrop above the city of Athens, Greece, and contains the remains of several ancient buildings of great architectural and historical significance, the most famous being the Parthenon. The word Acropolis is from the Greek words ἄκρον (akron, ""highest point, extremity"") and πόλις (polis, ""city""). The term acropolis is generic and there are many other acropoleis in Greece. During ancient times the Acropolis of Athens was also more properly known as Cecropia, after the legendary serpent-man Cecrops, the supposed first Athenian king.
While there is evidence that the hill was inhabited as early as the fourth millennium BC, it was Pericles (c. 495–429 BC) in the fifth century BC who coordinated the construction of the buildings whose present remains are the site's most important ones, including the Parthenon, the Propylaea, the Erechtheion and the Temple of Athena Nike. The Parthenon and the other buildings were seriously damaged during the 1687 siege by the Venetians during the Morean War when gunpowder being stored by the then Turkish rulers in the Parthenon was hit by a Venetian bombardment and exploded.

"
"Granada Cathedral, Granada, Spain",11.929832900000001,-85.95323354450116,Granada Cathedral,"Granada Cathedral, or the Cathedral of the Incarnation (Spanish: Catedral de Granada, Santa Iglesia Catedral Metropolitana de la Encarnación de Granada), is a Roman Catholic church in the city of Granada, capital of the province of the same name in the Autonomous Region of Andalusia, Spain. The cathedral is the seat of the Archdiocese of Granada. Like many other cathedrals in Andalusia, it was built on top of the city's main mosque after the reconquest of Granada."
"Praça do Comércio, Lisbon, Portugal",38.70779335,-9.1365543153284,Praça do Comércio,"The Praça do Comércio (Portuguese pronunciation: [ˈpɾasɐ ðu kuˈmɛɾsju]; transl. Commerce Plaza) is a large, harbour-facing plaza in Portugal's capital, Lisbon, and is one of the largest in Portugal, with an area of 175 by 175 m (574 by 574 ft), that is, 30,600 m2 (329,000 ft2).
Facing the Tagus (Tejo) to the South, the plaza is still commonly known in Portuguese as Terreiro do Paço ([tɨˈʁɐjɾu ðu ˈpasu] (transl. Palace Yard), as it hosted the Paço da Ribeira (transl. Royal Palace of Ribeira) until the latter was destroyed by the great 1755 Lisbon earthquake (the subway station located there is still named after the old name of the plaza).
After the earthquake, the plaza was completely remodeled as part of the rebuilding of the Pombaline Downtown (Baixa), ordered by Sebastião José de Carvalho e Melo, 1st Marquis of Pombal, who was (chief) Minister of Portugal from 1750 to 1777, during the reign of the Portuguese King José I.
From the 19th century onwards, Praça do Comércio became the seat of some of the most important Portuguese state departments, including the Ministries of Finances, Internal Administration, Agriculture and Maritime Affairs; before the Carnation Revolution (1974) and the creation of a unified Ministry of Defence, it was also the location of the War and Navy Ministries, as well as the old Ministry of Colonies (up to 1967), and thus also became a methonym for the Portuguese central government. Also housed there is the Supreme Court.
In June 1910, just a few months before the establishment of the Portuguese Republic, Praça do Comércio was classified as a National Monument of Portugal."
"Grossmünster, Zurich, Switzerland",47.3701214,8.543911480562054,Grossmünster,"The Grossmünster (German pronunciation: [ɡʁoːsˈmʏnstɐ]; ""great minster"") is a Romanesque-style Protestant church in Zürich, Switzerland. It is one of the four major churches in the city (the others being the Fraumünster, Predigerkirche, and St. Peterskirche). Its congregation forms part of the Evangelical Reformed Church of the Canton of Zürich. The core of the present building near the banks of the Limmat was constructed on the site of a Carolingian church, which was, according to legend, originally commissioned by Charlemagne. Construction of the present structure commenced around 1100 and it was inaugurated around 1220.
The Grossmünster was a monastery church, vying for precedence with the Fraumünster across the Limmat throughout the Middle Ages. According to legend, the Grossmünster was founded by Charlemagne, whose horse fell to its knees over the tombs of Felix, Regula and Exuperantius, Zürich's patron saints. The legend helps support a claim of seniority over the Fraumünster, which was founded by Louis the German, Charlemagne's grandson. Recent archaeological evidence confirms the presence of a Roman burial ground at the site."
"Latvian National Museum of Art, Riga, Latvia",56.955780399999995,24.113069800493413,Latvian National Museum of Art,"The Latvian National Museum of Art (Latvian: Latvijas Nacionālais mākslas muzejs) is the richest collection of national art in Latvia.  It houses more than 52,000 works of art reflecting the development of professional art in the Baltic area and in Latvia from the middle of the 18th century until the present time.
The museum is located in building in Riga, which is historically significant.  The building at 1, Janis Rozentāls sq. was designed by the German architect Wilhelm Neumann and built in 1905 — it is one of the most impressive historical buildings on the boulevard and is situated next to the Academy of Art.  It was the first building in the Baltics to be built for the purposes of a museum. Between 2010 and 2015 museum underwent a reconstruction, during which the total size of the building was doubled."
"Duomo di Milano, Milan, Italy",45.46416835,9.191621109614111,Milan Cathedral,"Milan Cathedral (Italian: Duomo di Milano [ˈdwɔːmo di miˈlaːno]; Lombard: Domm de Milan [ˈdɔm de miˈlãː]), or Metropolitan Cathedral-Basilica of the Nativity of Saint Mary (Italian: Basilica cattedrale metropolitana di Santa Maria Nascente), is the cathedral church of Milan, Lombardy, Italy. Dedicated to the Nativity of St. Mary (Santa Maria Nascente), it is the seat of the Archbishop of Milan, currently Archbishop Mario Delpini.
The cathedral took nearly six centuries to complete: construction began in 1386, and the final details were completed in 1965. It is the largest church in the Italian Republic—the larger St. Peter's Basilica is in the State of Vatican City, a sovereign state—and the third largest in the world."
"Trakai Island Castle, Vilnius, Lithuania",54.65272965,24.93391910304272,Trakai Island Castle,"Trakai Island Castle (Lithuanian: Trakų salos pilis; Polish: Zamek w Trokach) is an island castle located in Trakai, Lithuania, on an island in Lake Galvė. The construction of the stone castle was begun in the 14th century by Kęstutis, and around 1409 major works were completed by his son Vytautas the Great, who died in this castle in 1430. Trakai was one of the main centers of the Grand Duchy of Lithuania and the castle held great strategic importance. The castle was rebuilt in the 1950s–1960s by Lithuanian initiative, although it had received resistance from Soviet authorities. The Trakai History Museum was established after the reconstruction."
"Museum of Genocide Victims, Vilnius, Lithuania",55.3500003,23.7499997,Lithuania,"Lithuania (  LITH-yoo-AYN-ee-yə; Lithuanian: Lietuva [lʲiətʊˈvɐ]), officially the Republic of Lithuania (Lithuanian: Lietuvos Respublika [lʲiətʊˈvoːs rʲɛsˈpʊblʲɪkɐ]), is a country in the Baltic region of Europe. It is one of three Baltic states and lies on the eastern shore of the Baltic Sea. It borders Latvia to the north, Belarus to the east and south, Poland to the south, and Russia to the southwest, with a maritime border with Sweden to the west. Lithuania covers an area of 65,300 km2 (25,200 sq mi), with a population of 2.86 million. Its capital and largest city is Vilnius; other major cities are Kaunas, Klaipėda, Šiauliai and Panevėžys. Lithuanians belong to the ethnolinguistic group of the Balts and speak Lithuanian, one of only a few living members of the Baltic branch of the Indo-European language family, which is also the most widely spoken language of the branch.
For millennia, the southeastern shores of the Baltic Sea were inhabited by various Baltic tribes. In the 1230s, Lithuanian lands were united for the first time by Mindaugas, who formed the Kingdom of Lithuania on 6 July 1253. Subsequent expansion and consolidation resulted in the Grand Duchy of Lithuania, which by the 14th century was the largest country in Europe. In 1386, the Grand Duchy entered into a de facto personal union with the Crown of the Kingdom of Poland. The two realms were united into the bi-confederal Polish-Lithuanian Commonwealth in 1569, forming one of the largest and most prosperous states in Europe. The Commonwealth lasted more than two centuries, until neighbouring countries gradually dismantled it between 1772 and 1795, with the Russian Empire annexing most of Lithuania's territory. Towards the end of World War I, Lithuania declared Independence in 1918, founding the modern Republic of Lithuania. In World War II, Lithuania was occupied by the Soviet Union, then by Nazi Germany, before being reoccupied by the Soviets in 1944. Lithuanian armed resistance to the Soviet occupation lasted until the early 1950s. On 11 March 1990, a year before the formal dissolution of the Soviet Union, Lithuania became the first Soviet republic to break away when it proclaimed the restoration of its independence.
Lithuania is a developed country with a high income, advanced economy, ranking 35th in the Human Development Index. Lithuania is a member of the European Union, the Council of Europe, the eurozone, the Nordic Investment Bank, the Schengen Agreement, NATO, and OECD. It also participates in the Nordic-Baltic Eight (NB8) regional co-operation format."
"City of Arts and Sciences, Valencia, Spain",10.32328985,123.89953150519753,City of Arts and Sciences,"The City of Arts and Sciences (Valencian: Ciutat de les Arts i les Ciències [siwˈtad de les ˈaɾts i les siˈɛnsi.es]; Spanish: Ciudad de las Artes y las Ciencias [θjuˈðað ðe las ˈaɾtes i las ˈθjenθjas]) is a cultural and architectural complex in the city of Valencia, Spain. It is the most important modern tourist destination in the city of Valencia and one of the 12 Treasures of Spain.
The City of Arts and Sciences is situated at the southeast end of the former riverbed of the river Turia, which was drained and rerouted after a catastrophic flood in 1957. The old riverbed was turned into a picturesque sunken park.
Designed by Santiago Calatrava and Félix Candela, the project began the first stages of construction in July 1996, and was inaugurated on 16 April 1998 with the opening of L'Hemisfèric. The last major component of the City of Arts and Sciences, Palau de les Arts Reina Sofía, was inaugurated on 9 October 2005, Valencian Community Day. The most recent building in the complex, L'Àgora, was opened in 2009.
Originally budgeted at €300 million in 1991 for three structures, it has expanded about three times the initial expected cost."
"Big Ben, London, United Kingdom",51.5007042,-0.1245721,Big Ben,"Big Ben is the nickname for the Great Bell of the Great Clock of Westminster, and by extension for the clock tower itself, which stands at the north end of the Palace of Westminster in London, England. Originally known simply as the Clock Tower, it was renamed Elizabeth Tower in 2012 to mark the Diamond Jubilee of Elizabeth II. The clock is a striking clock with five bells.
The tower was designed by Augustus Pugin in a Perpendicular Gothic Revival style and was completed in 1859. It is elaborately decorated with stone carvings and features symbols related to the four nations of the United Kingdom and the Anglo-Welsh Tudor dynasty. A Latin inscription celebrates Queen Victoria, in whose reign the palace was built. The tower stands 316 feet (96 m) tall, and the climb from ground level to the belfry is 334 steps. Its base is square, measuring 40 feet (12 m) on each side. The dials of the clock are 22.5 feet (6.9 m) in diameter.
The clock uses its original mechanism and was the largest and most accurate four-faced striking and chiming clock in the world upon its completion. It was designed by Edmund Beckett Denison and George Airy, the Astronomer Royal, and constructed by Edward John Dent and Frederick Dent. It is known for its reliability, and can be adjusted by adding or removing pre-decimal pennies from the pendulum. The Great Bell was cast by the Whitechapel Bell Foundry and weighs 13.5 long tons (13.7 tonnes; 15.1 short tons). Its nickname may be derived from Sir Benjamin Hall, who oversaw its installation, or heavyweight boxing champion Benjamin Caunt. There are four quarter bells, which chime on the quarter hours.
Big Ben is a British cultural icon. It is one of the most prominent symbols of the United Kingdom and parliamentary democracy, and it is often used in the establishing shot of films set in London. The clock tower has been part of a Grade I listed building since 1970 and a UNESCO World Heritage Site since 1987. The fabric was repaired and renovated between 2017 and 2021, during which the bells remained silent with few exceptions."
