landmark,latitude,longitude,wiki_title,image_url,wiki_content
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,34.84694,67.82525,Buddhas of Bamiyan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Buddha_of_Bamiyan.jpg/500px-Buddha_of_Bamiyan.jpg,"The Buddhas of Bamiyan (Pashto: د باميانو بودايي پژۍ, Dari: تندیس‌های بودا در بامیان) were two possibly 6th-century monumental Buddhist statues in the Bamiyan Valley of Afghanistan. Located 130 kilometres (81 mi) to the northwest of Kabul, at an elevation of 2,500 metres (8,200 ft), carbon dating of the structural components of the Buddhas has determined that the smaller 38 m (125 ft) ""Eastern Buddha"" was built around 570 CE, and the larger 55 m (180 ft) ""Western Buddha"" was built around 618 CE, which would date both to the time when the Hephthalites ruled the region. As a UNESCO World Heritage Site of historical Afghan Buddhism, it was a holy site for Buddhists on the Silk Road. However, in March 2001, both statues were destroyed by the Taliban following an order from their leader Mullah Muhammad Omar; the Taliban government of the Islamic Emirate had condemned the Bamiyan Buddhas as idols, invoking the Muslim concept of shirk. International and local opinion condemned the destruction of the Buddhas.
The statues represented a later evolution of the classic blended style of Greco-Buddhist art at Gandhara. The larger statue was named ""Salsal"" (""the light shines through the universe"") and was referred as a male. The smaller statue is called ""Shah Mama"" (""Queen Mother"") and is identified as a female figure. Technically, both were reliefs: at the rear, they each merged into the cliff wall. The main bodies were hewn directly from the sandstone cliffs, but details were modeled in mud mixed with straw, coated with stucco. This coating, the majority of which wore away long ago, was painted to enhance the expressions of the faces, hands, and folds of the robes; the larger one was painted carmine red, and the smaller one was painted multiple colours. The lower parts of the statues' arms were constructed from the same mud-straw mix, supported on wooden armatures. It is believed that the upper parts of their faces consisted of huge wooden masks.
Since the 2nd century CE, Bamiyan had been a Buddhist religious site on the Silk road under the Kushans, remaining so until the Islamic conquests of 770 CE, and finally coming under the Turkic Ghaznavid rule in 977 CE. In 1221, Genghis Khan, invaded the Bamiyan Valley, wiping out most of its population but leaving the Bamiyan Buddhas undamaged. Later in the 17th century, Mughal emperor Aurangzeb briefly ordered the use  artillery to destroy the statues, causing some damage, though the Buddhas survived without any major harm. 
The Buddhas had been surrounded by numerous caves and surfaces decorated with paintings. It is thought that these mostly dated from the 6th to 8th centuries CE and had come to an end with the Muslim conquests of Afghanistan. The smaller works of art are considered as an artistic synthesis of Buddhist art and Gupta art from ancient India, with influences from the Sasanian Empire and the Byzantine Empire, as well as the Tokhara Yabghus."
Minaret and Archaeological Remains of Jam,34.39641667,64.51588889,Minaret of Jam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Minaret_of_jam_2009_ghor.jpg/500px-Minaret_of_jam_2009_ghor.jpg,"The Minaret of Jam (Pashto and Dari: منار جام) is a UNESCO World Heritage Site in western Afghanistan. It is located in a remote and nearly inaccessible region of the Shahrak District, Ghor Province, next to the Hari River. The  62 m (203 ft) or 65 m (213 ft) high minaret was built c. 1190 entirely of baked bricks and is famous for its intricate brick, stucco and glazed tile decoration, which consists of alternating bands of kufic and naskhi calligraphy, geometric patterns, and verses from the Qur'an. Since 2002, the minaret has remained on the list of World Heritage in Danger, under serious threat of erosion, and has not been actively preserved. In 2014, the BBC reported that the tower was in imminent danger of collapse.
In 2020, the Minaret of Jam was listed among cultural heritage sites of the Islamic world by the Islamic World Educational, Scientific and Cultural Organization (ICESCO). According to the Afghan Ministry of Foreign Affairs (MoFA), the Minaret of Jam is Afghanistan's first cultural heritage site to be listed by ICESCO."
Butrint,39.75111111,20.02611111,Butrint,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Amphitheatre_of_Butrint_2009.jpg/500px-Amphitheatre_of_Butrint_2009.jpg,"Butrint (Greek: Βουθρωτόν and Βουθρωτός, romanized: Bouthrōtón, Latin: Buthrōtum, Albanian: Butrint) was an ancient Greek polis and later Roman city and the seat of an early Christian bishopric in Epirus. 
Originally a settlement of the Greek tribe of the Chaonians, it later became part of the state of Epirus and later a Roman colonia and a Byzantine bishopric. It entered into decline in Late Antiquity, before being abandoned during the Middle Ages after a major earthquake flooded most of the city. In modern times it is an archeological site in Vlorë County, Albania, some 14 kilometres (8.7 mi) south of Sarandë, close to the Greek border. It is located on a hill overlooking the Vivari Channel and is part of the Butrint National Park. Today Bouthrotum is a Latin Catholic titular see and also features the Ali Pasha Castle.
The city is considered one of the most important archaeological sites in Albania. On the strength of the immense wealth of cultural, historical and natural value with a considerable history, Butrint was declared a UNESCO World Heritage Site in 1992 and further a National Park in 2000 under the leadership of Auron Tare, its first director."
Al Qal'a of Beni Hammad,35.81844,4.78684,Qal'at Bani Hammad,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Kalaa_des_Beni_Hammad.5.jpg/500px-Kalaa_des_Beni_Hammad.5.jpg,"Qal'at Bani Hammad (Arabic: قلعة بني حماد), also known as Qal'a Bani Hammad or Qal'at of the Beni Hammad (among other variants), is a fortified palatine city in Algeria. Now in ruins, in the 11th century, it served as the first capital of the Hammadid dynasty. It is in the Hodna Mountains northeast of M'Sila, at an elevation of 1,418 metres (4,652 ft), and receives abundant water from the surrounding mountains. The site is near the town of Maadid (aka Maadhid), about 225 kilometres (140 mi) southeast of Algiers, in the Maghreb.
In 1980, it was inscribed as a World Heritage Site by UNESCO under the name Al Qal'a of Beni Hammad, and described as ""an authentic picture of a fortified Muslim city"".
The town includes a 7-kilometre (4 mi) long line of walls. Inside the walls are four residential complexes, and the largest mosque built in Algeria after that of Mansurah. It is similar in design to the Grand Mosque of Kairouan, with a tall minaret, 20 metres (66 ft).
Excavations have brought to light numerous terracotta, jewels, coins and ceramics testifying to the high level of civilization under the Hammadid dynasty.  Also among the artifacts discovered are several decorative fountains using the lion as a motif. The remains of the emir's palace, known as Dal al-Bahr, include three separate residences separated by gardens and pavilions."
Tassili n'Ajjer,25.5,9.0,Tassili n'Ajjer,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Dunes_at_Tassili_n%27Ajjer.jpg/500px-Dunes_at_Tassili_n%27Ajjer.jpg,"Tassili n'Ajjer (Berber: Tassili n Ajjer, Arabic: طاسيلي ناجر, romanized: ṭāssīlī naʾjir; ""Plateau of rivers"") is a national park in the Sahara desert, located on a vast plateau in southeastern Algeria. Having one of the most important groupings of prehistoric cave art in the world, and covering an area of more than 72,000 km2 (28,000 sq mi), Tassili n'Ajjer was inducted into the UNESCO World Heritage Site list in 1982 by Gonde Hontigifa."
M'Zab Valley,32.48333,3.68333,M'zab,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ghardaia.jpg/500px-Ghardaia.jpg,"The M'zab or Mzab (Mozabite: Aghlan, Arabic: مزاب, romanized: Mzāb) is a natural region of the northern Sahara Desert in Ghardaïa Province, Algeria.  It is located 600 km (370 mi) south of Algiers and there are approximately 360,000 inhabitants (2005 estimate)."
Djémila,36.32056,5.73667,Djémila,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Roman_Ruins_of_Djemila_in_S%C3%A9tif%2C_Algeria.jpg/500px-Roman_Ruins_of_Djemila_in_S%C3%A9tif%2C_Algeria.jpg,"Djémila (Arabic: جميلة, romanized: Beautiful (one), lit. 'Ǧamīlah'), formerly Cuicul, is a small mountain village in Algeria, near the northern coast east of Algiers, where some of the best preserved Roman ruins in North Africa are found. It is situated in the region bordering the Constantinois and Petite Kabylie (Basse Kabylie).
In 1982, Djémila became a UNESCO World Heritage Site for its unique adaptation of Roman architecture to a mountain environment. Significant buildings in ancient Cuicul include a theatre, two fora, temples, basilicas, arches, streets, and houses. The exceptionally well preserved ruins surround the forum of the Harsh, a large paved square with an entry marked by a majestic arch."
Tipasa,36.55,2.383333333,Tipasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Tipasa_remain_2.JPG/500px-Tipasa_remain_2.JPG,"Tipasa, sometimes distinguished as Tipasa in Mauretania, was a colonia in the Roman province Mauretania Caesariensis, nowadays called Tipaza, and located in coastal central Algeria. Since 1982, it has been declared by UNESCO a World Heritage Site. It was declared a World Heritage Site in danger in 2002, but was removed from the danger list in 2006 following conservation efforts."
Timgad,35.48416667,6.468861111,Timgad,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Timgad_%2815685889550%29.jpg/500px-Timgad_%2815685889550%29.jpg,"Timgad (Arabic: تيمقاد, romanized: Tīmgād, known as Marciana Traiana Thamugadi) was a Roman city in the Aurès Mountains of Algeria. It was founded by the Roman Emperor Trajan around 100 CE. The full name of the city was Colonia Marciana Ulpia Traiana Thamugadi. Emperor Trajan named the city in commemoration of his mother Marcia, eldest sister Ulpia Marciana, and father Marcus Ulpius Traianus.
Located in modern-day Algeria, about 35 kilometers (22 mi) east of the city of Batna, the ruins are noteworthy for representing one of the best extant examples of the grid plan as used in Roman town planning. Timgad was inscribed as a World Heritage Site by UNESCO in 1982."
Kasbah of Algiers,36.78333,3.06028,Casbah of Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Alger_Kasbah02.jpg/500px-Alger_Kasbah02.jpg,"The Casbah (Arabic: قصبة, qaṣba, meaning citadel) is the citadel of Algiers in Algeria and the traditional quarter clustered around it. In 1992, the United Nations Educational, Scientific and Cultural Organization (UNESCO) proclaimed Kasbah of Algiers a World Cultural Heritage Site, as ""There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.""

"
